10,7,7
10,8,3
10,5,6
10,2,1
10,6,2
10,3,5
10,1,4
10,25,26
11,4,8
11,5,6
11,7,7
11,8,3
11,2,1
11,6,2
11,3,5
11,1,4
11,25,26
48,6,2
48,2,1
48,8,3
48,25,26
48,7,7
48,11,14
48,4,8
48,5,6
48,28,27
48,1,4
49,6,2
49,2,1
49,8,3
49,25,26
49,7,7
49,11,14
49,4,8
49,5,6
49,28,27
49,1,4
88,7,7
88,11,14
88,45,17
88,25,26
88,4,8
88,40,32
88,1,4
88,28,27
89,7,7
89,11,14
89,45,17
89,25,26
89,4,8
89,40,32
89,1,4
89,28,27
129,45,17
129,27,23
129,28,27
129,1,4
129,40,32
153,15,20
153,16,19
153,45,17
153,27,23
153,1,4
153,40,32
153,62,44
154,45,17
154,27,23
154,15,20
154,16,19
154,1,4
154,70,38
154,40,32
154,62,44
154,45,17
194,72,53
194,62,44
194,27,23
194,70,38
194,15,20
194,16,19
194,40,32
195,27,23
195,70,38
195,15,20
195,16,19
195,40,32
195,62,44
195,72,53
224,15,20
224,44,40
224,16,19
224,40,32
224,72,53
224,62,44
224,77,58
224,75,56
224,70,38
225,70,38
225,44,40
225,15,20
225,16,19
225,40,32
225,72,53
225,62,44
225,77,58
225,75,56
250,15,20
250,27,64
250,45,67
250,44,40
250,70,38
250,16,19
250,77,58
250,75,56
250,62,44
250,72,53
251,45,67
251,27,64
251,70,38
251,15,20
251,44,40
251,16,19
251,75,56
251,77,58
251,62,44
251,72,53
277,27,64
277,70,38
277,15,20
277,44,40
277,75,56
277,85,30
277,87,73
277,86,72
277,77,58
277,62,44
278,27,64
278,70,38
278,15,20
278,44,40
278,77,58
278,62,44
278,75,56
278,87,73
278,86,72
278,85,30
304,44,40
304,27,64
304,70,38
304,15,20
304,35,42
304,87,73
304,86,72
304,82,75
304,85,30
304,75,56
305,27,64
305,70,38
305,15,20
305,44,40
305,35,42
305,87,73
305,86,72
305,82,75
305,85,30
305,75,56
333,70,38
333,15,20
333,35,42
333,87,73
333,86,72
333,82,75
333,94,81
333,85,30
333,104,83
334,70,38
334,35,42
334,15,20
334,87,73
334,86,72
334,85,30
334,82,75
334,94,81
334,104,83
360,15,20
360,104,83
360,86,72
360,82,75
360,94,81
361,15,20
361,104,83
361,86,72
361,82,75
361,94,81
385,15,20
385,113,48
385,23,34
385,104,83
385,82,75
385,86,72
385,110,87
385,94,81
386,15,20
386,104,83
386,82,75
386,94,81
386,110,87
386,113,48
386,23,34
413,115,38
413,113,48
413,23,34
413,114,92
413,86,72
413,82,75
413,110,87
413,94,81
430,115,38
430,113,48
430,121,70
430,23,34
430,114,92
430,125,95
430,110,87
430,86,72
430,94,81
453,23,34
453,125,95
453,113,48
453,121,70
453,114,92
453,110,87
453,116,60
453,122,98
454,23,34
454,125,95
454,121,70
454,114,92
454,110,87
454,113,48
454,122,98
474,113,48
474,121,70
474,112,86
474,114,92
474,125,95
474,122,98,
474,116,60
474,110,87
500,138,102
500,122,98
500,125,95
500,121,70
500,113,48
500,112,86
500,116,60
501,138,102
501,125,95
501,122,98
501,113,48
501,121,70
537,151,112
537,145,107
537,138,102
537,125,95
537,112,86
537,113,48
537,121,70
564,166,118
564,154,115
564,121,70
564,112,86
564,145,107
564,151,112
564,138,102
585,121,70
585,112,86
585,166,118
585,174,120
585,151,112
585,145,107
586,121,70
586,112,86
586,145,107
586,151,112
586,166,118
586,174,120
606,121,70
606,112,86
606,159,106
606,166,118
606,174,120
606,154,115
606,145,107
606,151,112
607,121,70
607,112,86
607,159,106
607,166,118
607,174,120
607,154,115
607,151,112
607,145,107
626,180,129
626,121,70
626,112,86
626,159,106
626,180,129
626,166,118
626,174,120
626,154,115
626,151,112
626,116,60
627,121,70
627,180,129
627,112,86
627,159,106
627,166,118
627,174,120
627,154,115
627,151,112
627,116,60

