frame_id,track_id,pred_x1,pred_y1,pred_x2,pred_y2,pred_cx,pred_cy_bottom,vx,vy,vw,vh
1,1,1274.04,847.55,1339.16,879.59,1306.6,879.59,0.0,0.0,0.0,0.0
1,2,244.58,601.27,306.94,628.72,275.76,628.72,0.0,0.0,0.0,0.0
1,3,902.24,538.9,966.32,566.81,934.28,566.81,0.0,0.0,0.0,0.0
1,4,573.1,969.61,642.05,1000.02,607.57,1000.02,0.0,0.0,0.0,0.0
1,5,1357.58,798.27,1423.24,827.71,1390.41,827.71,0.0,0.0,0.0,0.0
1,6,366.42,850.04,436.04,883.8,401.23,883.8,0.0,0.0,0.0,0.0
1,7,0.0,887.93,52.75,913.93,26.37,913.93,0.0,0.0,0.0,0.0
1,8,1.21,559.05,41.74,585.71,21.48,585.71,0.0,0.0,0.0,0.0
1,9,1754.9,568.29,1831.36,595.6,1793.13,595.6,0.0,0.0,0.0,0.0
1,10,805.63,812.05,872.88,842.88,839.25,842.88,0.0,0.0,0.0,0.0
2,1,1274.04,847.55,1339.16,879.59,1306.6,879.59,0.0,0.0,0.0,0.0
2,2,244.58,601.27,306.94,628.72,275.76,628.72,0.0,0.0,0.0,0.0
2,3,902.24,538.9,966.32,566.81,934.28,566.81,0.0,0.0,0.0,0.0
2,4,573.1,969.61,642.05,1000.02,607.57,1000.02,0.0,0.0,0.0,0.0
2,5,1357.58,798.27,1423.24,827.71,1390.41,827.71,0.0,0.0,0.0,0.0
2,6,366.42,850.04,436.04,883.8,401.23,883.8,0.0,0.0,0.0,0.0
2,7,0.0,887.93,52.75,913.93,26.37,913.93,0.0,0.0,0.0,0.0
2,8,1.21,559.05,41.74,585.71,21.48,585.71,0.0,0.0,0.0,0.0
2,9,1754.9,568.29,1831.36,595.6,1793.13,595.6,0.0,0.0,0.0,0.0
3,1,1274.04,847.55,1339.16,879.59,1306.6,879.59,0.0,0.0,0.0,0.0
3,2,244.58,601.27,306.94,628.72,275.76,628.72,0.0,0.0,0.0,0.0
3,3,902.24,538.9,966.32,566.81,934.28,566.81,0.0,0.0,0.0,0.0
3,4,573.1,969.61,642.05,1000.02,607.57,1000.02,0.0,0.0,0.0,0.0
3,5,1357.58,798.27,1423.24,827.71,1390.41,827.71,0.0,0.0,0.0,0.0
3,6,366.42,850.04,436.04,883.8,401.23,883.8,0.0,0.0,0.0,0.0
3,7,0.0,887.93,52.75,913.93,26.37,913.93,0.0,0.0,0.0,0.0
3,8,1.21,559.05,41.74,585.71,21.48,585.71,0.0,0.0,0.0,0.0
3,9,1754.9,568.29,1831.36,595.6,1793.13,595.6,0.0,0.0,0.0,0.0
3,11,1049.44,971.36,1113.41,1000.57,1081.42,1000.57,0.0,0.0,0.0,0.0
3,12,0.0,834.16,18.85,866.79,9.43,866.79,0.0,0.0,0.0,0.0
3,10,805.63,812.05,872.88,842.88,839.25,842.88,0.0,0.0,0.0,0.0
4,1,1274.04,847.55,1339.16,879.59,1306.6,879.59,0.0,0.0,0.0,0.0
4,2,244.58,601.27,306.94,628.72,275.76,628.72,0.0,0.0,0.0,0.0
4,3,902.24,538.9,966.32,566.81,934.28,566.81,0.0,0.0,0.0,0.0
4,4,573.1,969.61,642.05,1000.02,607.57,1000.02,0.0,0.0,0.0,0.0
4,5,1357.58,798.27,1423.24,827.71,1390.41,827.71,0.0,0.0,0.0,0.0
4,6,366.42,850.04,436.04,883.8,401.23,883.8,0.0,0.0,0.0,0.0
4,7,0.0,887.93,52.75,913.93,26.37,913.93,0.0,0.0,0.0,0.0
4,8,1.21,559.05,41.74,585.71,21.48,585.71,0.0,0.0,0.0,0.0
4,9,1754.9,568.29,1831.36,595.6,1793.13,595.6,0.0,0.0,0.0,0.0
4,11,1049.44,971.36,1113.41,1000.57,1081.42,1000.57,0.0,0.0,0.0,0.0
4,12,0.0,834.16,18.85,866.79,9.43,866.79,0.0,0.0,0.0,0.0
4,10,805.63,812.05,872.88,842.88,839.25,842.88,0.0,0.0,0.0,0.0
5,1,1274.04,847.55,1339.16,879.59,1306.6,879.59,0.0,0.0,0.0,0.0
5,2,244.58,601.27,306.94,628.72,275.76,628.72,0.0,0.0,0.0,0.0
5,3,902.24,538.9,966.32,566.81,934.28,566.81,0.0,0.0,0.0,0.0
5,4,573.1,969.61,642.05,1000.02,607.57,1000.02,0.0,0.0,0.0,0.0
5,5,1357.58,798.27,1423.24,827.71,1390.41,827.71,0.0,0.0,0.0,0.0
5,6,366.42,850.04,436.04,883.8,401.23,883.8,0.0,0.0,0.0,0.0
5,7,0.0,887.93,52.75,913.93,26.37,913.93,0.0,0.0,0.0,0.0
5,8,1.21,559.05,41.74,585.71,21.48,585.71,0.0,0.0,0.0,0.0
5,9,1754.9,568.29,1831.36,595.6,1793.13,595.6,0.0,0.0,0.0,0.0
5,11,1049.44,971.36,1113.41,1000.57,1081.42,1000.57,0.0,0.0,0.0,0.0
5,12,0.0,834.16,18.85,866.79,9.43,866.79,0.0,0.0,0.0,0.0
5,10,805.63,812.05,872.88,842.88,839.25,842.88,0.0,0.0,0.0,0.0
6,1,1274.04,847.55,1339.16,879.59,1306.6,879.59,0.0,0.0,0.0,0.0
6,2,244.58,601.27,306.94,628.72,275.76,628.72,0.0,0.0,0.0,0.0
6,3,902.24,538.9,966.32,566.81,934.28,566.81,0.0,0.0,0.0,0.0
6,4,573.1,969.61,642.05,1000.02,607.57,1000.02,0.0,0.0,0.0,0.0
6,5,1357.58,798.27,1423.24,827.71,1390.41,827.71,0.0,0.0,0.0,0.0
6,6,366.42,850.04,436.04,883.8,401.23,883.8,0.0,0.0,0.0,0.0
6,7,0.0,887.93,52.75,913.93,26.37,913.93,0.0,0.0,0.0,0.0
6,8,1.21,559.05,41.74,585.71,21.48,585.71,0.0,0.0,0.0,0.0
6,9,1754.9,568.29,1831.36,595.6,1793.13,595.6,0.0,0.0,0.0,0.0
6,11,1049.44,971.36,1113.41,1000.57,1081.42,1000.57,0.0,0.0,0.0,0.0
6,12,0.0,834.16,18.85,866.79,9.43,866.79,0.0,0.0,0.0,0.0
6,10,805.63,812.05,872.88,842.88,839.25,842.88,0.0,0.0,0.0,0.0
7,1,1274.04,847.55,1339.16,879.59,1306.6,879.59,0.0,0.0,0.0,0.0
7,2,244.58,601.27,306.94,628.72,275.76,628.72,0.0,0.0,0.0,0.0
7,3,902.24,538.9,966.32,566.81,934.28,566.81,0.0,0.0,0.0,0.0
7,4,573.1,969.61,642.05,1000.02,607.57,1000.02,0.0,0.0,0.0,0.0
7,5,1357.58,798.27,1423.24,827.71,1390.41,827.71,0.0,0.0,0.0,0.0
7,6,366.42,850.04,436.04,883.8,401.23,883.8,0.0,0.0,0.0,0.0
7,7,0.0,887.93,52.75,913.93,26.37,913.93,0.0,0.0,0.0,0.0
7,8,1.21,559.05,41.74,585.71,21.48,585.71,0.0,0.0,0.0,0.0
7,9,1754.9,568.29,1831.36,595.6,1793.13,595.6,0.0,0.0,0.0,0.0
7,11,1049.44,971.36,1113.41,1000.57,1081.42,1000.57,0.0,0.0,0.0,0.0
7,12,0.0,834.16,18.85,866.79,9.43,866.79,0.0,0.0,0.0,0.0
